名字,正文,时间
"
李凌霄ERHONGWEN",我说帮主管领导洗吗？我表达的意思是不能否认zf的工作，之后的处理是另一回事，不要煽风点火 ,20200123-20200207
"
喜欢猪猪真是太好了",可惜没征用我家哦不要把所有人想的跟你们一样心胸狭隘你让那些奔波在一线的人怎么办 人家失去的是什么你失去的是什么 我也是大学生 我觉得能为国家出一份力我很开心 不跟你们一样 ,20200123-20200207
"
朿杺Ve",开学了要回去，一般情况寒假放假之前也就被褥收一收，桌子附近那些零零碎碎不一定会全都收好，感染者治愈离开，房间怎么消毒能不能彻底很微妙啊 ,20200123-20200207
"
不问深秋",“你行你上”论出现啦！ ,20200123-20200207
"
冬咚冬咚咚冬和",你怎么不把你家捐出来当病房？把自己的物资拿出来给别人用？站着说话不腰疼？什么玩意 ,20200123-20200207
"
马毅ant",我真是服气，我们说了不让征用？？只是我们配合学校，学校zf不给学生一个说法？？我们连担心自己私人物品的权利都没？？我们担心私人物品=不顾一线医务人员=不管别人死活？？你这是什么逻辑 ,20200123-20200207
"
不问深秋",“你们店售后服务怎么这样？”“你行你上，你觉得不好你来做售后，来改造” ,20200123-20200207
"
茶伊i_",征用可以，但是我的东西我的权利也要被保障，就这么简单，但是现在几乎先斩后奏，还一群人说我们不识大体没有大局观？怎么我们大学生活该是吗？ ,20200123-20200207
"
bk呀",来 把你家征用出来 让病人住进去 命肯定比你家的所有财产都重要啊 ,20200123-20200207
"
社会哲lvxx",108亿口罩 ,20200123-20200207
"
JuJonTon",你上过大学吗？ ,20200123-20200207
"
此处山间无月",你算什么？这就开始开除国籍来了？我到要问问你干了啥事？捐了多少钱多少物资？ ,20200123-20200207
"
李凌霄ERHONGWEN",我没有否认zf的失职，当务之急还是支持zf做好防疫工作 ,20200123-20200207
"
Passing_WYH",毕业多年大学生一枚！我只知道如果这个时候需要我付出一些的时候 我无条件支持！况且武汉情况危急到这个地步，不明白你们现在还在计较一些被褥化妆品什么的意义在哪里 ,20200123-20200207
"
是想要甜甜的小田啊",我们学校已经被征用了其实到这个时候东西不东西的真的无所谓了????就希望疫情结束了给我们好好消个毒 ,20200123-20200207
"
此处山间无月",没征用你家吧，到时候看你还说的出话来吗弟弟？ ,20200123-20200207
"
Loooooo--",改造花费少的原因 是因为寝室住过人 很多东西都是现成的 牺牲的是最无辜学生的利益。 ,20200123-20200207
"
南栀茹阴",毕竟谁不愿意疫情早点过去，其他评论区说话太难听了，总是站在道德制高点说事。难道政府征用宿舍我们还可以拒绝不成？搞清楚利益受害的是学生们好吧，特殊时期当然特殊情况是对的，但是学生们也有担心自己财产和隐私的权利，搞清楚学生没有拒绝也拒绝不了。 ,20200123-20200207
"
楠楠不是坏人",把附近的大大小小的宾馆全拿出来征用了吧，方便管理，床铺都现成的 ,20200123-20200207
"
熊彼特的厨房",人都死了，你还在关心这些？如果上海需要征用我们学校宿舍，我绝对支持。 ,20200123-20200207
"
喂你别搞心态啊",牛逼 叹为观止  ,20200123-20200207
"
茶伊i_",我来给你讲个事情吧，江汉大学宿舍被征用，直接施工没人通知，还是看热搜知道的，这就是你说的有人负责有人保管 ,20200123-20200207
"
最不爱吃面条啦",肯定会的呀 ,20200123-20200207
"
等下就起床",已经征用宿舍了你还有什么解释吗 ,20200123-20200207
"
阳歌7718",你坐上了大G，??????????????????????????????????????????????????????????????????????????他坐上了大?? ，??????????????????????????????????????????????????????????????????????????????????????????????我坐上了拖拉机?? 。??????????????????????????????????????????????????????????????????????????????拖拉机，拖拉机，又拖又拉的拖拉机！ ,20200123-20200207
"
好久没改名字了啊",做人就不能换位思考一下吗？要是你的宿舍平白无故突然被征用，事先没有跟你说半点消息，你不生气？ ,20200123-20200207
"
我猪呗",哥们又看见你了 请问你宿舍被征用了吗 你做贡献了吗 ,20200123-20200207
"
紫蓝色鸢尾花yyy",谢谢回复，纠结了好几天这问题 ,20200123-20200207
"
星星糖22287",市属高校是哪四所 ,20200123-20200207
"
中原校园",杨副省长,20200123-20200207
"
间隔比例",现在的情况是一将无能 累死三军。从事发到现在做了多少昏庸的决策。你是想着让他们做到疫情解决，但在解决的过程中，无能的将士还会做出无数昏庸的决策。 ,20200123-20200207
"
JuJonTon",巧了，都是中国人，你家房子也是国家保护的，为啥让你帮忙一下流浪汉就不愿意了呢？为什么你就觉得流浪汉不如病人呢？我告诉你，流浪汉都是中国人，在中国土地上，你帮一下怎么了？你不愿意帮，却希望那些学生帮，你什么心态？ ,20200123-20200207
"
WxHardV",要死也等处理完了，现在死了谁顶上去 ,20200123-20200207
"
我猪呗",哥们是你太天真了我们学校就没有收 还是先斩后奏 ,20200123-20200207
"
zzzZZZzzz居居的呼噜",又来了。。。。还觉得自己怪客观，说话要讲基本法啊，我评价个冰箱还得会制冷？我评价个电灯还得会发光？ ,20200123-20200207
"
聆风听雨37204",都是一群奇葩。实际上宿舍里无非就是些衣物和书本。放寒假回家，会有几个人把手机身份证银行卡丢在宿舍?开学开学，照这趋势武汉3个月能开学就谢天谢地了。就征用个宿舍，不知道一群巨婴在担心些什么。 ,20200123-20200207
"
夕夏归人愿清欢",据说学校会丢掉所有私人物品，不是所有人都很富裕，如果你的东西都被扔掉了你作何反应？ 明明不用被丢掉，但学校为了省时省力全给丢了，我觉得学校无权这样。化妆品只是举例而已，不是所有学生都化妆，还有别的比如笔记本，衣服，证件，珍贵物品。你还这么比较的话就先把女医生的化妆品都丢掉再说 ,20200123-20200207
"
书苏喂",一堆口红日用品。。。。。 ,20200123-20200207
"
熊彼特的厨房",全国人民都在支持武汉，你在关心自己的一点利益，如果上海需要征用我们学校的宿舍，我绝对支持。 ,20200123-20200207
"
马毅ant",武汉商学院，武软，武城，江汉大学， ,20200123-20200207
"
养一只票票",不厉害却管着一个省一个市？造成这么大的影响，死这么多人？ ,20200123-20200207
"
喜欢猪猪真是太好了",哎 你们这样让那些奔波一线的人怎么办 如果人人都像你们一样命都快没了还在担心私人物品这个世界该乱成什么样？ ,20200123-20200207
"
大熊猫宝宝56",我们是央企，已经复工一周了。因为要承担更多的责任，下周集团从上而下更是全面复工！当然防控疫情和生产都要承担！ ,20200123-20200207
"
不知道换什么网名_",现在学校确实是一个首选的地方，有单独的隔离间、有水电设备甚至还有食堂。国家也是无奈之举。可能我没摊上吧，对于这 如果是我可能也会生气 ,20200123-20200207
"
花荫影",国家给你帮助，国家自愿的，不关你事。这不是典型的白眼狼思维吗？我仅针对这个观点。接受无能 ,20200123-20200207
"
DuanZ上官",不要什么都是你觉得，实际情况永远是你想不到的，宿舍已经改造完毕，就等着接收患者了 ,20200123-20200207
"
话分两头八戒那边",学生真可怜 ,20200123-20200207
"
聆风听雨37204",读书读书，读个几把。就武汉这趋势，三个月以后能开学就谢天谢地了。你在家待着觉得不舒服，还惦记着宿舍里几件破衣服几本破书?什么心态我真是服了 ,20200123-20200207
"
凤姐糖尿我蛀牙",不是先斩后奏，是政府根据情况需要做出的决定。这不是学校能有权拒绝的，学校也只能积极配合政府部门，因为患病人口基数的增大，导致医院床位空缺太大了，很多人得不到治疗，能用的地方政府都用了，望理解 ,20200123-20200207
"
涝千玺的小漂亮",应该提前通知的????学生有知情权的 ,20200123-20200207
"
喵帕斯爱吃喵",请把你家空出来放病房？还抱怨？真是可笑 ,20200123-20200207
"
今年还能改名啊",同学们看开点吧，你宿舍里那些宝贝，以后工作了两三个月也就赚回来了。但是病毒控制不住的话，谁都跑不了，到时候染到自己头上可不是那点钱能解决的了。 ,20200123-20200207
"
我的爱是竹马",江汉大学的 学校宿舍已经被征用了 学校过了一天施工都施完了才在微博上发个通知 绝了 ,20200123-20200207
"
柠檬精小饼干",姐妹挺住 ,20200123-20200207
"
茶伊i_",一口一句不知道书读到哪里去了，我可以冒昧问一句您学历如何呢？ ,20200123-20200207
"
马毅ant",1.离的太远不方便全部带回家，难道春夏秋冬衣服让大学几年每次都寄来寄去？2.本以为宿舍是最安全的地方，走的时候根本没想到会出这样的事情3.因为寒假很多人只打算回家过个年就回学校，只带了两三身衣服，我们是回家不是搬家4.现在无非就是担心安全和私人物品罢了，没有说不让征用 ,20200123-20200207
"
腊梅润唇膏",你去看看学校发的文件或者他们的班级群吧，别你觉得没可能六没可能 ,20200123-20200207
"
喜欢猪猪真是太好了",命重要还是贵重物品重要不过放假的时候辅导员没提醒吗不让留贵重物品 我们宿舍都都带回家了 ,20200123-20200207
"
人潮汹涌2333",你是不是把你?? 付出了？问题是学生就没得知情权？直接征用私人物品随便一遮就完了？是不是武汉就喜欢发生什么事就遮一遮？。那你在屋里睡觉我把你?? 征用了你是不是要拍手叫好？你怎么不把你家捐出来嘞？ ,20200123-20200207
"
茶伊i_",哇偶。不是您的东西您真心大呢，我除了知道自己宿舍被征用啥都不知道，您这就啥政策都清楚了？要不您再给我讲讲别的？ ,20200123-20200207
"
爱美的青春",武汉政府的事情国家会查，我只是要做好在这关键时刻该做的事，外部怎样我不管，也管不了，希望国家好起来的初心一直在！当前关头遇到政府针对疫情的措施，不是先去追究这个官员有没有错，而是应该先针对是否对控制疫情有利 ,20200123-20200207
"
云空榭",谁说征用学生宿舍改造完了再说征用的是教学楼吃啥啥 ,20200123-20200207
"
JJudJJudy",要给你一把刀吗？ ,20200123-20200207
"
小谭刚刚睡醒",说的太对了，会说话就多说点儿，刚刚那个人我已经把她屏蔽了，对于文化低的人我简直无法跟她交流，一说话就是脏话连篇，还是小姐姐说话舒服 ,20200123-20200207
"
我是女子呀",你武汉的学生不积极响应救人还在担心宿舍东西和知情权？？我山东等地的蔬菜水果不是老百姓一年的收成？一线医务人员的命有八条？一切还不是为了尽快救人救命！！ ,20200123-20200207
"
黄铁柱快长高高",军训村早就摇号卖了 ,20200123-20200207
"
CinCin·",能有多少钱，经济停摆物资医疗现在几万亿都花了 ,20200123-20200207
"
朗尼崔",你急个屁？你马眼看见的楼主否定全部了？知道你是体制内的，但是也别为无能昏庸的官员辩解！起码有点良心，做个人吧！ ,20200123-20200207
"
昵没有称_称没有昵",他征用的都是武汉主管的学校，不是说他们学校不好就该死，是武汉是真没有权利去动那些高校，武汉市长和211高校校长同级，你说谁管谁 ,20200123-20200207
